symbol,probability
7f,974
fe,940
ff,937
fd,908
5f,722
2f,700
42,699
bf,695
fb,687
09,664
f6,632
cb,612
e9,601
fa,600
00,584
f4,573
84,572
8f,562
ea,561
3f,561
a1,557
97,548
8b,530
c5,510
26,496
1f,496
af,492
9c,491
bd,488
73,487
cf,485
39,483
ba,479
67,477
f9,475
f7,475
75,474
f2,473
f5,470
7a,468
e4,466
65,462
99,460
48,456
8c,454
d5,453
6e,453
ec,452
d4,452
91,450
7b,450
e7,447
c7,447
37,446
4c,442
ed,441
9e,438
d7,435
dd,434
47,433
a3,431
21,428
13,428
94,426
e5,422
62,422
c8,421
d2,420
b5,419
ef,418
31,415
cc,414
7d,407
17,406
63,404
b1,403
a7,402
b2,402
de,396
5b,391
33,391
d9,390
b3,389
90,387
72,386
b7,385
2d,385
3c,384
5d,383
e3,380
be,378
a9,377
50,376
28,376
5e,375
ab,374
3d,372
e6,371
79,371
53,371
dc,370
da,369
96,368
87,366
ce,366
59,365
eb,365
c9,360
6c,358
32,357
ac,355
9f,350
b9,346
1b,344
d8,343
a6,341
12,340
98,340
4d,339
f3,337
ee,337
fc,336
a8,335
f1,334
7c,334
ae,332
c6,332
6a,331
4a,329
51,328
16,328
2c,327
57,325
a4,325
25,324
d6,324
b6,324
9b,323
55,323
df,322
d3,319
18,316
43,316
6f,316
7e,311
4e,311
4b,310
1d,309
74,308
66,307
1e,307
71,306
24,304
9a,303
76,302
45,302
aa,298
58,298
3a,297
30,294
3e,293
bb,292
9d,291
56,291
46,290
b0,290
23,289
78,286
6b,285
8e,281
60,280
2e,279
92,278
a5,277
e8,275
cd,274
0d,273
64,273
3b,268
0f,265
8a,264
ca,263
35,260
ad,259
77,257
19,257
d0,248
22,246
bc,246
93,246
db,242
06,240
e2,239
4f,239
85,229
f8,228
61,228
52,223
1c,220
68,219
14,218
0e,217
c4,214
d1,214
c1,212
c3,211
b8,211
5a,211
36,211
54,209
5c,208
49,206
b4,205
0b,204
6d,204
8d,202
2a,195
29,194
80,190
c2,190
01,187
15,186
03,185
83,185
2b,183
95,180
c0,177
27,176
f0,174
86,174
02,154
38,152
0c,152
e1,148
69,147
0a,145
89,145
81,144
05,137
34,137
a2,136
40,136
1a,129
20,119
88,114
07,109
04,109
82,96
e0,92
a0,82
10,82
70,80
41,74
44,67
08,64
11,51
